Name	Tier	Activation	Ranked	Text	Source	From	
All-Terrain Driver	Tier: 1	Activation: Passive	Ranked: No	Do not suffer usual penalties for driving through difficult terrain when using Driving.	Sources: ACRB, ETU, ND	All-Terrain Driver	
Bad Cop	Tier: 1	Activation: Passive	Ranked: Yes	May spend [AD][AD] from a Deception or Coercion check to upgrade ability of a single ally's subsequent Social Interaction check against the target a number of times equal to ranks in Bad Cop.	Sources: FH, KTP	Bad Cop	
Black Market Contacts	Tier: 1	Activation: Active (Incidental)	Ranked: Yes	When purchasing illegal goods, may reduce rarity by 1 per rank of Black Market Contacts, increasing cost by 50 percent of base cost per reduction.	Source: ECRB	Black Market Contacts	
Brace	Tier: 1	Activation: Active (Maneuver)	Ranked: Yes	As a maneuver, the character may Brace himself. This allows a character to remove [SE] per rank of Brace from the next skill check based on changing conditions, inclement weather, unstable surfaces, zero gravity, heavy gravity, or other disruptive physical obstacles that would make a skill check more difficult.	Sources: ACRB, ECRB	Brace	
Bought Info	Tier: 1	Activation: Active (Action)	Ranked: No	When making any knowledge skill check, your character can instead use this talent to spend an amount of currency equal to fifty times the difficulty of the check and automatically succeed on the knowledge check with one uncanceled [SU] (instead of rolling). At your GM’s discretion, your character may not be able to use Bought Info if the information is particularly sensitive or difficult to find, or buying it doesn’t make narrative sense.	Source: GCRB	Bought Info	
Call 'Em	Tier: 1	Activation: Passive	Ranked: No	Do not add [SE] to combat checks due to the use of the Aim maneuver.	Source: FC	Call 'Em	
Clever Retort	Tier: 1	Activation: Active (Incidental, Out of Turn)	Ranked: No	Once per encounter, your character may use this talent to add automatic [TH][TH] to another character’s social skill check.	Source: GCRB	Clever Retort	
Defensive Sysops	Tier: 1	Activation: Passive	Ranked: No	When attempting to defend a computer system against intrusion (or when someone attempts to hack a computer owned or programmed by your character) your character adds [SE][SE] to their opponent’s checks. If your character has access to the computer system when the intrusion takes place, they are automatically aware of the intrusion.	Source: GCRB	Defensive Sysops	
Desperate Recovery	Tier: 1	Activation: Passive	Ranked: No	Before your character heals strain at the end of an encounter, if their strain is more than half of their strain threshold, they heal two additional strain.	Source: GCRB	Desperate Recovery	
Duelist	Tier: 1	Activation: Passive	Ranked: No	Your character adds [BO] to their melee combat checks while engaged with a single opponent. Your character adds [SE] to their melee combat checks while engaged with three or more opponents.	Source: GCRB	Duelist	
