Name	Tier	Activation	Ranked	Text	Source	From	Depreciated
All-Terrain Driver	1	Passive	No	Do not suffer usual penalties for driving through difficult terrain when using Driving.	ACRB, ETU, ND	All-Terrain Driver	
Apothecary	1	Passive	Yes	When a patient under your character’s care heals wounds from natural rest, they heal additional wounds equal to twice your character’s ranks in Apothecary.	ROT	Apothecary	
Bad Cop	1	Passive	Yes	May spend [AD][AD] from a Deception or Coercion check to upgrade ability of a single ally's subsequent Social Interaction check against the target a number of times equal to ranks in Bad Cop.	FH, KTP	Bad Cop	
Black Market Contacts	1	Active (Incidental)	Yes	When purchasing illegal goods, may reduce rarity by 1 per rank of Black Market Contacts, increasing cost by 50 percent of base cost per reduction.	ECRB	Black Market Contacts	
Bought Info	1	Active (Action)	No	When making any knowledge skill check, your character can instead use this talent to spend an amount of currency equal to fifty times the difficulty of the check and automatically succeed on the knowledge check with one uncanceled [SU] (instead of rolling). At your GM’s discretion, your character may not be able to use Bought Info if the information is particularly sensitive or difficult to find, or buying it doesn’t make narrative sense.	GCRB	Bought Info	
Brace	1	Active (Maneuver)	Yes	As a maneuver, the character may Brace himself. This allows a character to remove [SE] per rank of Brace from the next skill check based on changing conditions, inclement weather, unstable surfaces, zero gravity, heavy gravity, or other disruptive physical obstacles that would make a skill check more difficult.	ACRB, ECRB	Brace	
Bullrush	1	Active (Incidental)	No	When your character makes a Brawl, Melee (Light), or Melee (Heavy) combat check after using a maneuver to engage a target, you may spend [AD][AD][AD] or [TR] to use this talent to knock the target prone and move them up to one range band away from your character.	ROT	Bullrush	
Call 'Em	1	Passive	No	Do not add [SE] to combat checks due to the use of the Aim maneuver.	FC	Call 'Em	
Challenge!	1	Active (Maneuver)	Yes	Once per encounter, your character may use this talent to choose a number of adversaries within short range no greater than your character’s ranks in Challenge! (a minion group counts as a single adversary for this purpose). Until the encounter ends or your character is incapacitated, these adversaries add [BO] to combat checks targeting your character and [SE][SE] to combat checks targeting other characters.	ROT	Challenge!	
Clever Retort	1	Active (Incidental, Out of Turn)	No	Once per encounter, your character may use this talent to add automatic [TH][TH] to another character’s social skill check.	GCRB	Clever Retort	
Construction Specialist	1	Passive	Yes	Your character removes one [SE] per rank of Construction Specialist from checks made to construct bases, defense works, positions, fortifications, tunnels, bunkers, and similar combat engineering projects .	FO	Construction Specialist	
Creative Design	1	Passive	Yes	As part of resolving a successful crafting check, your character may also apply a result equivalent to spending a number of [AD] equal to their ranks in Creative Design. The GM may then apply a result equivalent to the same number of [TH].	FO	Creative Design	
Dark Insight	1	Active (Incidental)	No	When a spell adds a quality to your character's spell with a rating determined by your character's ranks in Knowledge (Lore), your character may use their ranks in Knowledge (Forbidden) instead.	ROT	Dark Insight	
Defensive Sysops	1	Passive	No	When attempting to defend a computer system against intrusion (or when someone attempts to hack a computer owned or programmed by your character) your character adds [SE][SE] to their opponent’s checks. If your character has access to the computer system when the intrusion takes place, they are automatically aware of the intrusion.	GCRB	Defensive Sysops	
Desperate Recovery	1	Passive	No	Before your character heals strain at the end of an encounter, if their strain is more than half of their strain threshold, they heal two additional strain.	GCRB	Desperate Recovery	
Duelist	1	Passive	No	Your character adds [BO] to their melee combat checks while engaged with a single opponent. Your character adds [SE] to their melee combat checks while engaged with three or more opponents.	GCRB	Duelist	
Dungeoneer	1	Passive	Yes	After your character makes a Perception, Vigilance, or Knowledge (Adventuring) check to notice, identify, or avoid a threat in a cavern, subterranean ruin, or similar location, your character cancels a number of uncanceled [TH] no greater than your character's ranks in Dungeoneer.	ROT	Dungeoneer	
Durable	1	Passive	Yes	Your character reduces any Critical Injury result they suffer by 10 per rank of Durable, to a minimum of 01.	GCRB	Durable	
Extra Ammo	1	Passive	No	Cannot run out of ammo due to a [DE]. Items with Limited Ammo quality run out of ammo as normal.	ACRB, ECRB	Spare Clip	
Familiar Sky	1	Active (Maneuver)	No	Once per session, may perform a Familiar Sky maneuver; make a Hard (◆◆◆) Knowledge check to reveal the current type of environment and other useful information.	ACRB, ECRB	Familiar Suns	
Finesse	1	Active (Incidental)	No	When making a Brawl or Melee (Light) check, your character may use Agility instead of Brawn.	ROT	Finesse	
Forager	1	Passive	No	Your character removes up to [SE][SE] from any skill checks they make to find food, water, or shelter. Checks to forage or search the area that your character makes take half the time they would normally.	GCRB	Forager	
Good Cop	1	Passive	Yes	May spend [AD][AD] from a Charm or Negotiation check to upgrade ability of a single ally's subsequent Social Interaction check against the target a number of times equal to ranks in Good Cop.	JOY, FH, ND	Good Cop	
Grit	1	Passive	Yes	Each rank of Grit increases your character’s strain threshold by one.	GCRB	Grit	
Hamstring Shot	1	Active (Action)	No	Once per round, your character may use this talent to perform a ranged combat check against one non-vehicle target within range of the weapon used. If the check is successful, halve the damage inflicted by the attack (before reducing damage by the target’s soak). The target is immobilized until the end of its next turn.	GCRB	Hamstring Shot	
Hidden Storage	1	Passive	Yes	Gain hidden storage in vehicles or equipment that holds items with total encumbrance equal to ranks in Hidden Storage.	ACRB, EBGR, ECRB	Hidden Storage	
Jump Up	1	Active (Incidental)	No	Once per round during your character’s turn, your character may use this talent to stand from a prone or seated position as an incidental.	GCRB	Jump Up	
Knack for It	1	Passive	Yes	When you purchase this talent for your character, select one skill. Your character removes [SE][SE] from any checks they make using this skill. Each additional time you purchase this talent for your character, select two additional skills. Your character also removes [SE][SE] from any checks they make using these skills. You cannot select combat or magic skills when choosing skills for this talent.	GCRB	Knack for It	
Know Somebody	1	Active (Incidental)	Yes	Once per session, when attempting to purchase a legally available item, your character may use this talent to reduce its rarity by one per rank of Know Somebody.	GCRB	Know Somebody	
Knowledge Specialization	1	Passive	Yes	When acquired, choose 1 Knowledge skill. When making that skill check, may spend a [TR] result to gain additional [SU] equal to ranks in Knowledge Specialization.	ACRB, ECRB, FCRB	Knowledge Specialization	
